조사일자,지역,구,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
20260902,대전광역시,대덕구,우리원셀프주유소,대전 대덕구 신탄진로 383,S-OIL,042-621-5185,True,,1805,1810,
20260902,대전광역시,대덕구,와동셀프주유소 ㈜에스에이치에너지,대전 대덕구 신탄진로 386,SK에너지,042-710-0609,True,,1805,1793,
20260902,대전광역시,대덕구,으뜸회덕주유소,대전 대덕구 신탄진로 222,SK에너지,042-628-1496,True,,1805,1793,
20260902,대전광역시,대덕구,OK주유소,대전 대덕구 대전로 1312 (읍내동),HD현대오일뱅크,042-633-8757,True,2264,1806,1792,
20260902,대전광역시,대덕구,은빛주유소,대전 대덕구 아리랑로 70 (읍내동),HD현대오일뱅크,042-631-5104,True,,1807,1795,
20260902,대전광역시,대덕구,㈜오일마스터 킹콩주유소 대전지점,대전 대덕구 아리랑로 107 (읍내동),S-OIL,042-627-5551,True,,1808,1794,
20260902,대전광역시,대덕구,소태산주유소,대전 대덕구 신탄진로 163 (신대동),HD현대오일뱅크,042-636-4438,True,,1809,1795,
20260902,대전광역시,대덕구,CJ대한통운㈜ 대전지사주유소,대전 대덕구 신탄진로 1 (읍내동),GS칼텍스,042-625-5189,True,,1809,1795,
20260902,대전광역시,대덕구,쌍용주유소 선인에너지,대전 대덕구 신탄진로 83 (연축동),알뜰주유소,042-628-0088,True,,1809,1795,
20260902,대전광역시,대덕구,대양석유㈜ 중리주유소,대전 대덕구 한밭대로 1186,SK에너지,042-622-9939,True,2235,1810,1809,
20260902,대전광역시,대덕구,원촌주유소,대전 대덕구 아리랑로 55 (읍내동),SK에너지,042-633-6330,True,,1815,1795,
20260902,대전광역시,대덕구,당산주유소,대전 대덕구 아리랑로 135 (읍내동),SK에너지,042-622-2133,False,,1815,1795,
20260902,대전광역시,대덕구,상서현대셀프,대전 대덕구 신탄진로 519 (상서동),HD현대오일뱅크,042-931-8097,False,2260,1815,1795,
20260902,대전광역시,대덕구,럭키셀프주유소,대전 대덕구 한밭대로 1007,HD현대오일뱅크,042-000-0000,True,2269,1815,1795,
20260902,대전광역시,대덕구,㈜연정 농수산주유소,대전 대덕구 한밭대로 1014,GS칼텍스,042-635-1587,True,2235,1815,1805,
