name,address
㈜ 대성바이오,대전 대덕구 한밭대로1180 (중리동)
(자)유한가스,"대전 중구 중촌동198-1번지 198-2 ,199-1,2"
(주) 차세대주유소,대전 대덕구 아리랑로73 (읍내동)
(주)가수원주유소,대전 서구 계백로1176 (가수원동)
(주)구암상사주유소,대전 유성구 유성대로654번길32 (구암동)
(주)대동현대셀프,대전 동구 계족로126 (대동)
(주)대성바이오,"대전 대덕구 한밭대로1180 (중리동,하나주유소)"
(주)동건에너지,대전 서구 계룡로202 (월평동)
(주)동서로,"대전 대덕구 동서대로1787, 1층 (송촌동)"
(주)방동주유소,대전 유성구 계백로139 (방동)
(주)신영에너지,"대전 동구 동대전로253,(가양동)"
(주)에스에이치에너지와동셀프주유소,대전 대덕구 신탄진로386 (와동)
(주)황제충전소,대전 유성구 대덕대로1021 (덕진동)
(주)회덕아이씨주유소충전소,대전 대덕구 갑천도시고속도로1084 (신대동)
(주)회덕아이씨충전소,대전 대덕구 갑천도시고속도로1084 (신대동)
SK청정주유소,대전 중구 계룡로756 (오류동)
가양셀프주유소,대전 동구 우암로365 (가양동)
가양주유소,대전 동구 우암로365 (가양동)
개나리주유소,대전 대덕구 오정로53 (오정동)
거북이주유소,대전 중구 문화로35 (산성동)
계룡주유소,대전 유성구 현충원로177 (갑동)
고향주유소,대전 동구 산내로562 (상소동)
괴정주유소,대전 서구 괴정로113 (괴정동)
구봉산셀프주유소,대전 서구 구봉로208 (관저동)
금성주유소,대전 중구 동서대로1183 (태평동)
당산주유소,대전 대덕구 아리랑로135 (읍내동)
대도주유소,대전 대덕구 신탄진로756번길2 (신탄진동)
대성셀프주유소,대전 동구 대전로292 (대성동)
대양석유(주)대덕주유소,대전 대덕구 동서대로1811 (송촌동)
대양석유(주)덕성셀프주유소,대전 동구 대전로287 (대성동)
대양석유(주)중리주유소,"대전 대덕구 한밭대로1186 (중리동,참기름주유소)"
대전IC주유소 삼승유화(주) 직영1호점,"대전 대덕구 동서대로1787, 1층 (송촌동)"
대전알찬주유소,대전 동구 우암로316 (가양동)
대화공단LPG충전소,대전 대덕구 아리랑로63 (읍내동)
도서관셀프주유소,대전 중구 보문산로353 (문화동)
도서관셀프주유소,대전 중구 보문산로353 (문화동)
동광장셀프주유소,대전 동구 중앙로280 (소제동)
동성주유소,대전 중구 문화로97 (유천동)
동아주유소,대전 동구 동대전로118 (대동)
동일석유(주)테크노밸리,대전 유성구 테크노중앙로139 (용산동)
동학사LPG충전소,대전 유성구 현충원로137 (갑동)
두바이주유소 도안씨티(주),대전 중구 보문로117 (대사동)
디에스 주유소,대전 서구 배재로210 (도마동)
리치주유소,대전 중구 보문로117 (대사동)
매봉주유소,대전 동구 우암로247 (가양동)
방동LPG충전소,대전 유성구 계백로473 (방동)
방동제일주유소,대전 유성구 계백로324 (방동)
배재로주유소(주),대전 서구 배재로210 (도마동)
배재주유소,대전 서구 도솔5길5 (도마동)
백산주유소,대전 서구 동서대로1068 (변동)
북대전주유소,대전 유성구 유성대로1495 (화암동)
비전운수(주)산업단지주유소,대전 대덕구 산업단지로107 (신일동)
빙그레에너지,대전 유성구 월드컵대로289번길42 (구암동)
삼육주유소,대전 중구 대전천서로757 (중촌동)
삼정주유소,대전 서구 대덕대로384 (만년동)
상서주유소,대전 대덕구 신탄진로519 (상서동)
상서충전소,대전 대덕구 신탄진로484 (상서동)
상서현대셀프,대전 대덕구 신탄진로519 (상서동)
세일가스-LPG충전소,대전 중구 대종로117 (옥계동)
송정가스,대전 유성구 계백로34 (송정동)
순우리주유소,대전 대덕구 신탄진로533 (상서동)
신가오주유소,대전 동구 은어송로38 (가오동)
신가오주유소,대전 동구 은어송로38 (가오동)
신가오주유소,대전 동구 은어송로38 (가오동)
신가오주유소,대전 동구 은어송로38 (가오동)
신가오주유소,"대전 동구 은어송로38,(가오동)"
신가오주유소,"대전 동구 은어송로38,(가오동)"
신가오주유소,"대전 동구 은어송로38,(가오동)"
신고개주유소,대전 동구 새울로38 (용운동)
신일주유소,대전 대덕구 산업단지로112 (신일동)
싱글벙글LPG충전소,대전 서구 계백로1249번길27 (정림동)
싱글벙글엘피지충전소(주),대전 서구 계백로1249번길27 (정림동)
에스케이주홍셀프주유소,대전 대덕구 신탄진로383 (와동)
오광인쇄(주),대전 중구 동서대로1385 (목동)
옥계주유소,대전 중구 대종로103 (옥계동)
와동주유소,대전 대덕구 신탄진로386 (와동)
용전셀프주유소,"대전 동구 동서대로1627 (홍도동,푸른주유소)"
우리원 셀프주유소,대전 대덕구 신탄진로383 (와동)
우정주유소,대전 동구 삼정로418(삼정동)
우진주유소,대전 유성구 유성대로654번길1 (구암동)
유성학하충전소,"대전 유성구 진잠옛로135번길76, 1층 (학하동)"
이화주유소,대전 중구 대종로166 (석교동)
장터주유소,대전 대덕구 아리랑로152 (읍내동)
재하주유소,대전 동구 동서대로1664 (성남동)
정림가스충전소,대전 서구 계백로1275 (정림동)
정민가스(주),대전 대덕구 대전로1020번길47 (오정동)
제이에너지(주)대덕밸리주유소,대전 유성구 대덕대로938 (화암동)
중동주유소,대전 서구 계룡로344 (갈마동)
진성주유소,대전 중구 대종로122 (호동)
진잠유통단지LPG충전소,"대전 유성구 교촌동331-1,8번지"
창대석유,대전 동구 새울로22 (판암동)
충남주유소,"대전 중구 대흥로80,(대흥동)"
케이케이(주) 대전중앙주유소,"대전 유성구 유성대로1647, 주유소 (전민동)"
탄방주유소,대전 서구 유등로659 (탄방동)
필승주유소,"대전 유성구 현충원로201, 필승주유소 (갑동)"
한밭대앞Self주유소,대전 유성구 학하서로111(덕명동)
한솔주유소,대전 대덕구 한밭대로1036 (오정동)
햇빛주유소,대전 유성구 계백로87 (송정동)
행복가득주유소,대전 중구 보문산로86 (산성동)
현대셀프주유소,대전 서구 변동로114 (변동)
